"","Source","ParticipantID","Study_ID","ID","z_long_string","z_irv","z_psychsyn","z_evenodd","Exclude"
"225","CPC","CP0231","CP0231","QT345",-0.441108627868946,-0.00555021358377348,0.956106744757624,-0.976911433015685,0
"226","CPC","CP0232","CP0232","QT347",-0.441108627868946,0.462830267366862,1.25776186971014,-0.476793596223896,0
"227","CPC","CP0233","CP0233","QT349",-0.591329209662582,0.264893230394112,0.704409582528612,2.08386422193183,1
"228","CPC","CP0234","CP0234","QT350",-0.29088804607531,0.0259792951697103,-0.268943335401252,2.08386422193183,1
"229","CPC","CP0235","CP0235","QT352",1.36153835365469,0.850988529819524,-0.0817583693855681,-0.789553755884291,0
"230","CPC","CP0236","CP0236","QT353",1.51175893544832,1.21426110415274,-0.253280181794984,1.01584690855569,0
"231","CPC","CP0237","CP0237","QT354",1.21131777186105,-0.34731041526439,1.27790981730948,-0.857973561300013,0
"232","CPC","CP0238","CP0238","QT356",-0.140667464281674,0.492598559670495,1.84918967132086,-0.864974454804733,0
"233","CPC","CP0239","CP0239","QT359",-0.441108627868946,-0.54039391465686,1.84918967132086,-0.706754898387078,0
"234","CPC","CP0240","CP0240","QT361",0.159773699305598,0.100786320643765,-1.03974880513507,1.19317882173287,0
"235","CPC","CP0241","CP0241","QT362",-0.29088804607531,-0.53752997432919,-0.471554354478419,-0.640669196141487,0
"236","CPC","CP0242","CP0242","QT363",-0.29088804607531,0.892422409776429,-0.0227882486032611,-0.0241940725225557,0
"237","CPC","CP0243","CP0243","QT365",0.00955311751196184,-1.02487087026055,-0.0643668166223353,0.026525925571058,0
"238","CPC","CP0244","CP0244","QT366",-0.591329209662582,-0.070551771924045,0.677230631694455,0.547361182235762,0
"239","CPC","CP0245","CP0245","QT368",0.760656026480142,-0.388530968825164,1.46833474863452,-0.823569772477577,0
"240","CPC","CP0246","CP0246","QT369",1.06109719006741,0.388796903647162,-0.21218204727018,-0.398973170232904,0
"241","CPC","CP0247","CP0247","QT371",0.46021486289287,1.13574981082571,-1.24343597525237,-0.722561506988074,0
